City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Inhambane,MZ,71.91,scattered clouds,-23.865,35.3833, 
Lodja,CD,78.13,overcast clouds,-3.4833,23.4333, 
Posse,BR,89.13,scattered clouds,-14.0931,-46.3694, 
Binon-An,PH,81.57,clear sky,11.3947,123.1426, 
Ko Samui,TH,85.23,few clouds,9.5357,99.9357, 
Mahebourg,MU,80.26,light rain,-20.4081,57.7, 
Voh,NC,69.89,clear sky,-20.9667,164.7, 
Vaitape,PF,82.47,overcast clouds,-16.5167,-151.75, 
Adrar,MR,92.75,clear sky,20.5022,-10.0711, 
Vao,NC,77.47,scattered clouds,-22.6667,167.4833, 
Ferkessedougou,CI,93.43,overcast clouds,9.6,-5.2, 
Kralendijk,BQ,85.98,scattered clouds,12.15,-68.2667, 
Bonthe,SL,85.89,overcast clouds,7.5264,-12.505, 
Lasa,IT,56.7,broken clouds,46.6166,10.7002, 
Georgetown,MY,84.13,few clouds,5.4112,100.3354, 
Victoria,HK,75.96,overcast clouds,22.2855,114.1577, 
Seoul,KR,63.79,light intensity drizzle,37.5683,126.9778, 
Isangel,VU,77.09,broken clouds,-19.55,169.2667, 
Alofi,NU,80.11,light rain,-19.0595,-169.9187, 
Namibe,AO,78.75,overcast clouds,-15.1961,12.1522, 
East London,ZA,72.54,clear sky,-33.0153,27.9116, 
Mecca,SA,85.95,clear sky,21.4267,39.8261, 
Itaituba,BR,85.55,overcast clouds,-4.2761,-55.9836, 
North Branford,US,53.69,overcast clouds,41.3276,-72.7673, 
Khanpur,PK,86.68,broken clouds,28.6453,70.6567, 
Padang,ID,77.05,overcast clouds,-0.9492,100.3543, 
Valparaiso,CL,86.23,clear sky,-33.0393,-71.6273, 
Bredasdorp,ZA,64.38,overcast clouds,-34.5322,20.0403, 
Santona,ES,70.11,clear sky,43.4439,-3.4576, 
Chokwe,MZ,71.24,clear sky,-24.5333,32.9833, 
Avera,US,85.91,clear sky,33.194,-82.5271, 
Kitgum,UG,76.03,scattered clouds,3.2783,32.8867, 
Preobrazheniye,RU,44.13,overcast clouds,42.9019,133.9064, 
Soavinandriana,MG,59.54,few clouds,-19.1667,46.7333, 
Ukiah,US,53.44,clear sky,39.1502,-123.2078, 
Atar,MR,90.82,scattered clouds,20.5169,-13.0499, 
Taoudenni,ML,100.85,few clouds,22.6783,-3.9836, 
Alta Floresta,BR,93.02,scattered clouds,-9.8756,-56.0861, 
Beyneu,KZ,55.54,overcast clouds,45.3167,55.2, 
Narsaq,GL,44.82,broken clouds,60.9167,-46.05, 
Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575, 
San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225, 
Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436, 
Shevchenkove,UA,48.4,moderate rain,49.6959,37.1735, 
Hazorasp,UZ,53.44,clear sky,41.3194,61.0742, 
Sorland,NO,44.46,overcast clouds,67.667,12.6934, 
Tarabuco,BO,58.57,broken clouds,-19.1667,-64.9167, 
Marawi,PH,70.99,overcast clouds,7.9986,124.2928, 
Yulara,AU,59.68,clear sky,-25.2406,130.9889, 
Nouna,BF,104.41,broken clouds,12.7333,-3.8667, 
Fukue,JP,62.49,broken clouds,32.6881,128.8419, 
Laguna,US,57.49,clear sky,38.421,-121.4238, 
Grenaa,DK,55.62,clear sky,56.4158,10.8783, 
Iralaya,HN,84.49,clear sky,15.0,-83.2333, 
Calawag,PH,78.71,broken clouds,10.6697,119.5707, 
Fortuna,US,47.91,scattered clouds,40.5982,-124.1573, 
Bilma,NE,97.88,broken clouds,18.6853,12.9164, 
Los Llanos De Aridane,ES,66.13,broken clouds,28.6585,-17.9182, 
Kaoma,ZM,69.03,overcast clouds,-14.7833,24.8, 
Abu Samrah,SY,69.57,overcast clouds,35.3029,37.1841, 
Lompoc,US,65.01,few clouds,34.6391,-120.4579, 
Rosarito,MX,63.63,broken clouds,32.3333,-117.0333, 
Marabba,SD,98.55,few clouds,12.35,32.1833, 
Verkhneyarkeyevo,RU,48.67,overcast clouds,55.4505,54.3145, 
Ponta Do Sol,PT,70.43,broken clouds,32.6667,-17.1, 
Dunedin,NZ,54.81,clear sky,-45.8742,170.5036, 
Male,MV,85.95,few clouds,4.1748,73.5089, 
Airai,TL,58.3,broken clouds,-8.9266,125.4092, 
Belmonte,BR,86.22,scattered clouds,-15.8631,-38.8828, 
Bolshaya Dzhalga,RU,54.63,few clouds,45.9695,42.6966, 
Vestmannaeyjar,IS,47.39,fog,63.4427,-20.2734, 
Pacific Grove,US,57.02,clear sky,36.6177,-121.9166, 
Horsens,DK,55.24,clear sky,55.8607,9.8503, 
Key West,US,81.0,scattered clouds,24.5557,-81.7826, 
Tiarei,PF,78.82,broken clouds,-17.5333,-149.3333, 
Cabedelo,BR,90.27,overcast clouds,-6.9811,-34.8339, 
Grindavik,IS,53.55,broken clouds,63.8424,-22.4338, 
Taman,RU,53.24,scattered clouds,45.2117,36.7161, 
Lianzhou,CN,71.35,scattered clouds,24.7811,112.3825, 
Viedma,AR,67.75,few clouds,-40.8135,-62.9967, 
Morondava,MG,79.05,light rain,-20.2833,44.2833, 
Puerto Penasco,MX,68.59,clear sky,31.3167,-113.5333, 
Toamasina,MG,77.0,light rain,-18.1667,49.3833, 
Soyo,AO,81.97,moderate rain,-6.1349,12.3689, 
Pontianak,ID,80.58,scattered clouds,-0.0333,109.3333, 
West Odessa,US,82.67,clear sky,31.8424,-102.4988, 
Komsomolskiy,UZ,52.52,broken clouds,40.4272,71.7189, 
Kinkala,CG,78.24,overcast clouds,-4.3614,14.7644, 
Storforshei,NO,46.18,broken clouds,66.4043,14.5233, 
Toba,JP,60.8,overcast clouds,34.4833,136.85, 
Samarai,PG,79.77,scattered clouds,-10.6167,150.6667, 
Manzil Salim,TN,73.63,overcast clouds,35.8567,8.4765, 
Mocuba,MZ,69.8,broken clouds,-16.8392,36.9856, 
Namatanai,PG,78.15,broken clouds,-3.6667,152.4333, 
Hambantota,LK,82.49,few clouds,6.1241,81.1185, 
Kidal,ML,100.69,overcast clouds,18.4411,1.4078, 
Pacifica,US,57.42,few clouds,37.6138,-122.4869, 
Flinders,AU,64.38,light rain,-34.5833,150.8552, 
Ixtapa,MX,78.03,clear sky,20.7,-105.2, 
Atambua,ID,70.21,scattered clouds,-9.1061,124.8925, 
Nizwa,OM,82.96,broken clouds,22.9333,57.5333, 
Prado,BR,87.67,scattered clouds,-17.3411,-39.2208, 
Chicama,PE,79.34,overcast clouds,-7.8447,-79.1469, 
Port-Gentil,GA,84.16,light rain,-0.7193,8.7815, 
Miraflores,MX,75.02,broken clouds,19.2167,-98.8083, 
Trairi,BR,84.79,overcast clouds,-3.2778,-39.2689, 
Bubaque,GW,81.34,scattered clouds,11.2833,-15.8333, 
Cap Malheureux,MU,80.47,clear sky,-19.9842,57.6142, 
Svetlaya,RU,40.15,scattered clouds,46.5389,138.3297, 
Brylivka,UA,53.11,overcast clouds,46.4248,33.1472, 
Cidreira,BR,68.27,scattered clouds,-30.1811,-50.2056, 
Watertown,US,50.56,overcast clouds,42.3709,-71.1828, 
Savannah Bight,HN,80.83,broken clouds,16.45,-85.85, 
Ahipara,NZ,67.15,overcast clouds,-35.1667,173.1667, 
Traverse City,US,43.84,overcast clouds,44.7631,-85.6206, 
Paka,MY,80.53,overcast clouds,4.6374,103.4368, 
Plettenberg Bay,ZA,66.0,overcast clouds,-34.0527,23.3716, 
Burley,US,40.19,clear sky,42.5357,-113.7928, 
Sal Rei,CV,75.4,broken clouds,16.1833,-22.9167, 
Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733, 
Kalemie,CD,73.78,broken clouds,-5.9475,29.1947, 
Merauke,ID,76.96,broken clouds,-8.4667,140.3333, 
Hvolsvollur,IS,47.07,overcast clouds,63.7533,-20.2243, 
Codrington,AU,51.24,broken clouds,-38.2667,141.9667, 
Dalhousie,IN,47.48,overcast clouds,32.5333,75.9833, 
Tateyama,JP,62.53,mist,34.9833,139.8667, 
Pahrump,US,60.26,clear sky,36.2083,-115.9839, 
Mackay,AU,68.68,clear sky,-21.15,149.2, 
Muros,ES,66.15,few clouds,42.7762,-9.0603, 
Ancud,CL,58.66,overcast clouds,-41.8697,-73.8203, 
Bosaso,SO,81.46,clear sky,11.2842,49.1816, 
Esperance,AU,55.94,clear sky,-33.8667,121.9, 
Guntakal,IN,90.39,clear sky,15.1667,77.3833, 
Husavik,IS,51.03,scattered clouds,66.0449,-17.3389, 
Salalah,OM,84.29,scattered clouds,17.0151,54.0924, 
Itaporanga,BR,92.03,overcast clouds,-7.3044,-38.1503, 
Canals,ES,67.21,overcast clouds,38.9625,-0.5844, 
Muroto,JP,64.98,overcast clouds,33.2833,134.15, 
Yoichi,JP,43.93,moderate rain,43.2039,140.7703, 
Bengkulu,ID,77.41,overcast clouds,-3.8004,102.2655, 
Acari,PE,81.66,few clouds,-15.4311,-74.6158, 
Richards Bay,ZA,72.55,clear sky,-28.783,32.0377, 
